case,test_name,partner,base_url,admin_username,admin_password,login_username,login_password,
test_2124,Moodle - Edit entry page - thumbnail tab,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!,
test_2128,Moodle - Embed video resource from SR,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!,
test_954,Moodle - Publish from my media to shared repository,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!,
test_2397,Moodle - Embed media in site blogs from media gallery,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!,
test_2398,Moodle - upload and Embed media in kaltura video resource,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!,
test_2125,Moodle - Trim video,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!,
test_2126,Moodle - Create clip,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!,
test_2122,Moodle - Change Cliping permissions,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!,
test_628,Moodle - Assignment Submission Functionalities,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!,
test_594,KAF BB - Entry Thumbnail,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_109,KAF BB - Embed Media As Standalone From Kaltura media,,,apps.qa.automation@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_113,KAF BB - Embed Media From SR - Add New Announcements,,,apps.qa.automation@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_604,KAF BB - Upload media from desktop,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_589,KAF BB - Edit Entry Metadata,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_590,KAF BB - Edit Entry page - Disable comments,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_591,KAF BB - Edit Entry page - Close discussion,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_593,KAF BB - Entry page - Add captions And Search,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_597,KAF BB - Delete through my media,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_598,KAF BB - Delete through edit entry page,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_602,KAF BB - Preview all kinds of media from my media,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_599,KAF BB - Publish after upload,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_600,KAF BB - Publish from my media (single and multi),,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_603,KAF BB - View Collapsed Expanded Modes,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_601,KAF BB - Publish From Entry Page,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_608,KAF BB - My Media - Search by Name / Description / Tags,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_609,KAF BB - My Media - Sort Media,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_611,KAF BB - My Media - Sort Media,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_4225,KAF BB - Remove Media From Media Gallery,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_610,KAF BB - My Media - Filter Media View Different Statuses,,,pythonautomation1@mailinator.com,Kaltura1!,kstudent,123456,
test_111,KAF BB - Enable / Disable faculty repository,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_222,KAF BB - Adding media to Faculty Repository From My Media,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_1648,KAF BB - Upload new media to Faculty Repository and then publish entries to course,,,apps.qa.automation@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_114,KAF BB - Add Remove Featured Media Module,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_4424,KAF BB -upload media from media gallery page,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_2087,KAF BB - Embed Media As Standalone From Wysiwyg,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_2088,KAF BB - Upload From Embed As Standalone,,,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_2284,Canvas - Preview all kinds of media from My Media and Gallery,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2276,Canvas - Edit entry page - thumbnail tab,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2279,Canvas - My Media -Delete through my media,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2280,Canvas - Delete through edit entry page,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2281,Canvas - Publish after upload,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2282,Canvas - Publish from my media (single and multiple),,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2283,Canvas - Publish From Entry Page,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2285,Canvas - View Collapsed Expanded Modes,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2286,Canvas - Upload media from desktop,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2290,Canvas - My Media - Search by Name / Description / Tags,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2291,Canvas - My Media - Sort Media,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2292,Canvas - My Media - filter media view different statuses,,,pythonautomation1@mailinator.com,Kaltura1!,studentautomation@mailinator.com,Kaltura1!,
test_2293,Canvas - My Media - filter media view different media types,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2295,Canvas - Embed on BSE from shared repository,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2297,Canvas - Embed on BSE from media gallery,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2309,Canvas - Embed on BSE from my media,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2310,Canvas - Embed on BSE from upload,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2302,Canvas - Edit Entry page - Disable comments,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2303,Canvas - Edit Entry page - Close discussion,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2298,Canvas - Edit Entry Metadata,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2305,Canvas - Entry page - Add captions And Search - remove caption,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2308,Canvas - Remove Media From Media Gallery,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2335,Canvas - Upload Media From Media Gallery Page,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2336,Canvas - Gallery Moderation,,,pythonautomation1@mailinator.com,Kaltura1!,studentautomation@mailinator.com,Kaltura1!,
test_2294,Canvas - Publish from my media to shared repository,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2296,Canvas - Publish to course galleries from  shared repository,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!,
test_2543,D2L - Preview all kinds of media from My Media and Gallery,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2533,D2L - Edit Entry Metadata,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2534,D2l - Edit Entry page - Disable comments,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2535,D2L - Edit Entry page - Close discussion,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2537,D2L - Entry page - Add captions And Search - remove caption,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2538,D2L - Edit entry page - Thumbnail tab,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2541,D2L - Delete through my media,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2542,D2L - Delete through edit entry page,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2544,D2L - View Collapsed Expanded Modes,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2545,D2L - Upload media from desktop,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2549,D2L - My Media - Search by Name / Description / Tags,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2550,D2L - My Media - Sort Media,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2551,D2L - My Media - Filter Media View Different Statuses,,,pythonautomation1@mailinator.com,Kaltura1!,student,Kaltura1!,
test_2552,D2L - My Media - Filter by media Type,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2556,D2L - Edit Media Gallery Metadata,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2557,D2L - Remove Media From Media Gallery,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2558,D2L - Upload Media From Media Gallery Page,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2559,D2L - Gallery Moderation,,,pythonautomation1@mailinator.com,Kaltura1!,student,Kaltura1!,
test_2903,D2L - Publish after upload,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2904,D2L - Publish from my media (single and multiple),,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2905,D2L - Publish From Entry Page,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2908,D2L - Discussions BSE From My Media,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2907,D2L - Discussions BSE From Media Gallery,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2906,D2L - Discussions Upload And Embed From BSE Page,,,pythonautomation1@mailinator.com,Kaltura1!,autod2l,Kaltura1!,
test_2498,Jive - Preview all kinds of media from My Media and Gallery,,,pythonautomation1@mailinator.com,Kaltura1!,jiveauto,Kaltura1!,
test_2485,Jive - Edit Entry Metadata,,,pythonautomation1@mailinator.com,Kaltura1!,jiveauto,Kaltura1!,
test_2486,Jive - Edit Entry page - Disable comments,,,pythonautomation1@mailinator.com,Kaltura1!,jiveauto,Kaltura1!,
test_2487,Jive - Edit Entry page - Close discussion,,,pythonautomation1@mailinator.com,Kaltura1!,jiveauto,Kaltura1!,
test_2489,Jive - Entry page - Add captions And Search - remove caption,,,pythonautomation1@mailinator.com,Kaltura1!,jiveauto,Kaltura1!,
test_2490,Jive - Edit entry page - Thumbnail tab,,,pythonautomation1@mailinator.com,Kaltura1!,jiveauto,Kaltura1!,
test_2493,Jive - My Media -Delete through my media,,,pythonautomation1@mailinator.com,Kaltura1!,jiveauto,Kaltura1!,
test_2494,Jive - Delete through edit entry page,,,pythonautomation1@mailinator.com,Kaltura1!,jiveauto,Kaltura1!,
test_2499,Jive - View Collapsed Expanded Modes,,,pythonautomation1@mailinator.com,Kaltura1!,jiveauto,Kaltura1!,
test_2500,Jive - Upload media from desktop,,,pythonautomation1@mailinator.com,Kaltura1!,jiveauto,Kaltura1!,
test_2503,Jive - My Media - Search by Name / Description / Tags,,,pythonautomation1@mailinator.com,Kaltura1!,jiveauto,Kaltura1!,
test_2505,Jive - My Media - Sort Media,,,pythonautomation1@mailinator.com,Kaltura1!,jiveauto,Kaltura1!,
test_2506,Jive - My Media - Filter Media View Different Statuses,,,pythonautomation1@mailinator.com,Kaltura1!,hrmanager,hrmanager,
test_2507,Jive - My Media - Filter by media Type,,,pythonautomation1@mailinator.com,Kaltura1!,jiveauto,Kaltura1!,
test_2523,Jive - Remove Media From Media Gallery,,,pythonautomation1@mailinator.com,Kaltura1!,jiveauto,Kaltura1!,
test_2524,Jive - Upload Media From Media Gallery Page,,,pythonautomation1@mailinator.com,Kaltura1!,jiveauto,Kaltura1!,
test_2525,Jive - Gallery Moderation,,,pythonautomation1@mailinator.com,Kaltura1!,hrmanager,hrmanager,
test_2512,Jive - Embed media in document,,,pythonautomation1@mailinator.com,Kaltura1!,jiveauto,Kaltura1!,
test_2509,Jive - Embed media in discussion,,,pythonautomation1@mailinator.com,Kaltura1!,jiveauto,Kaltura1!,
test_2511,Jive - Discussions Upload And Embed From BSE Page,,,pythonautomation1@mailinator.com,Kaltura1!,jiveauto,Kaltura1!,
test_2940,Sakai - Preview all kinds of media from My Media and Gallery,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_2910,Sakai - View Collapsed Expanded Modes,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_2911,Sakai - Upload media from desktop,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_2914,Sakai - My Media - Search by Name / Description / Tags,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_2915,Sakai - My Media - Sort Media,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_2916,Sakai - My Media - Filter Media View Different Statuses,,,pythonautomation1@mailinator.com,Kaltura1!,autostudent,Kaltura1!,
test_2917,Sakai - My Media - Filter by media Type,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_2919,Sakai - Remove Media From Media Gallery,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_2920,Sakai - Upload Media From Media Gallery Page,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_2921,Sakai - Gallery Moderation,,,pythonautomation1@mailinator.com,Kaltura1!,autostudent,Kaltura1!,
test_2923,Sakai - Publish after upload,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_2924,Sakai - Publish from my media (single and multiple),,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_2925,Sakai - Publish From Entry Page,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_2930,Sakai - Edit Entry Metadata ,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_2931,Sakai - Edit Entry page - Disable comments,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_2932,Sakai - Edit Entry page - Close discussion,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_2934,Sakai - Entry page - Add captions And Search - remove caption,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_2935,Sakai - Edit entry page - Thumbnail tab ,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_2938,Sakai - My Media -Delete through my media,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_2939,Sakai  -Delete through entry page,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_3044,Sakai  - Announcment BSE From My Media,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_3045,Sakai  - Announcment Upload And Embed From BSE Page Sakai,,,pythonautomation1@mailinator.com,Kaltura1!,sakaiauto,Kaltura1!,
test_2881,Sharepoint - View Collapsed Expanded Modes,,,pythonautomation1@mailinator.com,Kaltura1!,automation@KalturaSP2013.onmicrosoft.com,KalKaltura3!,
test_2882,Sharepoint - Upload media from desktop,,,pythonautomation1@mailinator.com,Kaltura1!,automation@KalturaSP2013.onmicrosoft.com,KalKaltura3!,
test_2880,SharePoint - Preview all kinds of media from My Media and Gallery,,,pythonautomation1@mailinator.com,Kaltura1!,automation@KalturaSP2013.onmicrosoft.com,KalKaltura3!,
test_2885,SharePoint - Gallery Moderation,,,pythonautomation1@mailinator.com,Kaltura1!,tester1@kalturasp2013.onmicrosoft.com,KalKaltura4!,
test_2886,Sharepoint - Search by tag / name / description,,,pythonautomation1@mailinator.com,Kaltura1!,automation@KalturaSP2013.onmicrosoft.com,KalKaltura3!,
test_2887,SharePoint - My Media - Filter by media Type,,,pythonautomation1@mailinator.com,Kaltura1!,automation@KalturaSP2013.onmicrosoft.com,KalKaltura3!,
test_2888,Sharepoint - My Media - Filter Media View Different Statuses,,,pythonautomation1@mailinator.com,Kaltura1!,tester1@kalturasp2013.onmicrosoft.com,KalKaltura4!,
test_2889,Sharepoint - Sort media all types,,,pythonautomation1@mailinator.com,Kaltura1!,tester1@kalturasp2013.onmicrosoft.com,KalKaltura4!,
test_2890,Sharepoint - Edit metadata,,,pythonautomation1@mailinator.com,Kaltura1!,automation@KalturaSP2013.onmicrosoft.com,KalKaltura3!,
test_2891,Sharepoint - Disable comments,,,pythonautomation1@mailinator.com,Kaltura1!,automation@KalturaSP2013.onmicrosoft.com,KalKaltura3!,
test_2892,Sharepoint - Close discussion,,,pythonautomation1@mailinator.com,Kaltura1!,automation@KalturaSP2013.onmicrosoft.com,KalKaltura3!,
test_2894,Sharepoint - Add caption,,,pythonautomation1@mailinator.com,Kaltura1!,automation@KalturaSP2013.onmicrosoft.com,KalKaltura3!,
test_2895,Sharepoint - Thumbnails,,,admin_user,admin_pass,automation@KalturaSP2013.onmicrosoft.com,KalKaltura3!,
test_2898,Sharepoint - Delete through my media,,,pythonautomation1@mailinator.com,Kaltura1!,automation@KalturaSP2013.onmicrosoft.com,KalKaltura3!,
test_2899,Sharepoint - Delete through edit entry page,,,pythonautomation1@mailinator.com,Kaltura1!,automation@KalturaSP2013.onmicrosoft.com,KalKaltura3!,
test_2901,Sharepoint - Upload media from media gallery page,,,admin_user,admin_pass,automation@KalturaSP2013.onmicrosoft.com,KalKaltura3!,
test_2902,Sharepoint - Remove media from media gallery,,,admin_user,admin_pass,automation@KalturaSP2013.onmicrosoft.com,KalKaltura3!,
test_706,Publish to channel multiple,2370151,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_3277,Add collaborator co edit - details tab,2370151,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_3278,Add collaborator co edit - options tab,2370151,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_3279,Add collaborator co edit - thumbnail tab,2370151,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_3280,Add collaborator co edit - cpation tab,2370151,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_3281,Add collaborator co publish,2370151,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_3282,Add collaborator co edit,2370151,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_3273,Slide Deck Upload,2370151,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_3274,Slide Deck Upload - delete slides,2370151,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_3275,Slide Deck Upload - add / remove chapters,2370151,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_3276,Slide Deck Upload - change slide location,2370151,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_3283,Slide Deck Upload- A-sync upload,2370151,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_3284,Slide Deck Upload- search slides,2370151,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_4543,KEA trim,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_4455,KEA clip,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_4458,KEA trim entry with slides,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_4465,KEA clip entry with slides,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_4482,KEA trim Quiz entry,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_4513,KEA clip Quiz entry,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_4535,KEA trim audio entry,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_4544,KEA Clip audio entry,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_4562,KEA trim video with captions,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_4621,KEA clip video with captions,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_4622,KEA Trim Quiz with caption and slide,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_4742,KEA - Quiz Details section in KEA Editor,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,apps.qa.automation@mailinator.com,Kaltura1!,
test_4757,Quiz - Details - Download functionality,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_4758,Quiz - Scores section in KEA Page,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_4759,Quiz - Scores section in Entry Page - Enable,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_4766,Quiz - Experience section in KEA Page,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_4767,Quiz - Experience section in Entry Page - Enabled,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_4768,Quiz - Scores section in Entry Page - Disabled,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_4769,Quiz - Scores section in Entry Page - Default,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_4772,Quiz - Experience section in Entry Page - Disabled,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_4773,Quiz - Experience section in Entry Page - Default,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_4776,Quiz - Entry with all the KEA Quiz Question types - KEA Page,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_4778,Quiz - Entry with all the KEA Quiz Question types - New Quiz with Media Owner - Entry Page,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_4786,Quiz - Resumed Quiz with Media Owner,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
test_4788,Quiz - Submitted Quiz 100% score with Media Owner,2438361-1,mediaspace.kaltura.com,pythonautomation1@mailinator.com,Kaltura1!,python_automation,Kaltura1!,
